VehID,TimeStep,SpeedProfile
925,25.4,5.61825
925,25.45,5.61263
925,25.5,5.60701
925,25.55,5.601905
925,25.6,5.5968
925,25.65,5.59831
925,25.7,5.59982
925,25.75,5.60652
925,25.8,5.61322
925,25.85,5.62178
925,25.9,5.63034
925,25.95,5.640045
925,26,5.64975
925,26.05,5.662035
925,26.1,5.67432
925,26.15,5.69245
925,26.2,5.71058
925,26.25,5.739415
925,26.3,5.76825
925,26.35,5.813225
925,26.4,5.8582
925,26.45,5.922535
925,26.5,5.98687
925,26.55,6.06802
925,26.6,6.14917
925,26.65,6.23784
925,26.7,6.32651
925,26.75,6.4101
925,26.8,6.49369
925,26.85,6.56221
925,26.9,6.63073
925,26.95,6.68102
925,27,6.73131
925,27.05,6.76682
925,27.1,6.80233
925,27.15,6.82992
925,27.2,6.85751
925,27.25,6.88445
925,27.3,6.91139
925,27.35,6.94378
925,27.4,6.97617
925,27.45,7.01747
925,27.5,7.05877
925,27.55,7.108155
925,27.6,7.15754
925,27.65,7.209675
925,27.7,7.26181
925,27.75,7.30923
925,27.8,7.35665
925,27.85,7.393475
925,27.9,7.4303
925,27.95,7.4547
925,28,7.4791
925,28.05,7.49311
925,28.1,7.50712
925,28.15,7.51466
925,28.2,7.5222
925,28.25,7.526915
925,28.3,7.53163
925,28.35,7.535705
925,28.4,7.53978
925,28.45,7.54374
925,28.5,7.5477
925,28.55,7.55103
925,28.6,7.55436
925,28.65,7.556355
925,28.7,7.55835
925,28.75,7.55854
925,28.8,7.55873
925,28.85,7.55681
925,28.9,7.55489
925,28.95,7.550215
925,29,7.54554
925,29.05,7.536745
925,29.1,7.52795
925,29.15,7.51274
925,29.2,7.49753
925,29.25,7.473095
925,29.3,7.44866
925,29.35,7.412715
925,29.4,7.37677
925,29.45,7.32912
925,29.5,7.28147
925,29.55,7.22525
925,29.6,7.16903
925,29.65,7.11066
925,29.7,7.05229
925,29.75,6.999565
925,29.8,6.94684
925,29.85,6.90597
925,29.9,6.8651
925,29.95,6.83868
925,30,6.81226
925,30.05,6.79973
925,30.1,6.7872
925,30.15,6.7872
925,30.2,6.7872
925,30.25,6.799795
925,30.3,6.81239
925,30.35,6.83933
925,30.4,6.86627
925,30.45,6.908995
925,30.5,6.95172
925,30.55,7.008465
925,30.6,7.06521
925,30.65,7.12958
925,30.7,7.19395
925,30.75,7.25652
925,30.8,7.31909
925,30.85,7.37146
925,30.9,7.42383
925,30.95,7.462015
925,31,7.5002
925,31.05,7.52501
925,31.1,7.54982
925,31.15,7.564645
925,31.2,7.57947
925,31.25,7.58776
925,31.3,7.59605
925,31.35,7.60015
925,31.4,7.60425
925,31.45,7.605465
925,31.5,7.60668
925,31.55,7.60582
925,31.6,7.60496
925,31.65,7.602905
925,31.7,7.60085
925,31.75,7.59885
925,31.8,7.59685
925,31.85,7.596175
925,31.9,7.5955
925,31.95,7.596685
925,32,7.59787
925,32.05,7.600385
925,32.1,7.6029
925,32.15,7.60566
925,32.2,7.60842
925,32.25,7.61064
925,32.3,7.61286
925,32.35,7.614395
925,32.4,7.61593
925,32.45,7.61696
925,32.5,7.61799
925,32.55,7.61873
925,32.6,7.61947
925,32.65,7.620075
925,32.7,7.62068
925,32.75,7.621305
925,32.8,7.62193
925,32.85,7.622785
925,32.9,7.62364
925,32.95,7.625
925,33,7.62636
925,33.05,7.628685
925,33.1,7.63101
925,33.15,7.63504
925,33.2,7.63907
925,33.25,7.646085
925,33.3,7.6531
925,33.35,7.66524
925,33.4,7.67738
925,33.45,7.69773
925,33.5,7.71808
925,33.55,7.74941
925,33.6,7.78074
925,33.65,7.822965
925,33.7,7.86519
925,33.75,7.913715
925,33.8,7.96224
925,33.85,8.00942
925,33.9,8.0566
925,33.95,8.09564
925,34,8.13468
925,34.05,8.16259
925,34.1,8.1905
925,34.15,8.207965
925,34.2,8.22543
925,34.25,8.234665
925,34.3,8.2439
925,34.35,8.246695
925,34.4,8.24949
925,34.45,8.24635
925,34.5,8.24321
925,34.55,8.233175
925,34.6,8.22314
925,34.65,8.204185
925,34.7,8.18523
925,34.75,8.15554
925,34.8,8.12585
925,34.85,8.08569
925,34.9,8.04553
925,34.95,7.998475
925,35,7.95142
925,35.05,7.90362
925,35.1,7.85582
925,35.15,7.813325
925,35.2,7.77083
925,35.25,7.73688
925,35.3,7.70293
925,35.35,7.677475
925,35.4,7.65202
925,35.45,7.633875
925,35.5,7.61573
925,35.55,7.605255
925,35.6,7.59478
925,35.65,7.59414
925,35.7,7.5935
925,35.75,7.60473
925,35.8,7.61596
925,35.85,7.63934
925,35.9,7.66272
925,35.95,7.696485
925,36,7.73025
925,36.05,7.77072
925,36.1,7.81119
925,36.15,7.85336
925,36.2,7.89553
